TM SOLVERS:

========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
                print("AS: " + str(ap_res))
TM vs REG RERUN:
=============================================================================================================================
Model           | Tier       | sharpSAT (s)    | Var. Elim (s)   | Junc Tree (s)   | Sampling (s) [±Err] 
-----------------------------------------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0603          | 0.0002          | 0.0075          | 0.0147 (±0.4%)      
asia            | few_ev     | 0.0584          | 0.0003          | 0.0075          | 0.0229 (±0.1%)      
asia            | much_ev    | 0.0586          | 0.0003          | 0.0076          | 0.0289 (±0.2%)      
cancer          | no_ev      | 0.0567          | 0.0003          | 0.0028          | 0.0094 (±0.6%)      
cancer          | few_ev     | 0.0569          | 0.0003          | 0.0029          | 0.0113 (±0.4%)      
cancer          | much_ev    | 0.0577          | 0.0003          | 0.0029          | 0.0150 (±0.5%)      
sachs           | no_ev      | 0.0971          | 0.0003          | ERR             | 0.0223 (±0.5%)      
sachs           | few_ev     | 0.0938          | 0.0004          | ERR             | 0.0429 (±0.6%)      
sachs           | much_ev    | 0.0720          | 0.0006          | ERR             | 0.6314 (±0.7%)      
alarm           | no_ev      | 0.5190          | 0.0005          | MEM_OUT         | 0.0575 (±0.8%)      
alarm           | few_ev     | 0.2457          | 0.0009          | ERR             | 1.7195 (±0.6%)      
alarm           | much_ev    | 0.1196          | 0.0011          | ERR             | 17.8017 (1 TO, ±0.4%)
child           | no_ev      | 0.1076          | 0.0004          | 0.0716          | 0.0339 (±0.6%)      
child           | few_ev     | 0.0913          | 0.0006          | 0.0712          | 0.7870 (±0.7%)      
child           | much_ev    | 0.0856          | 0.0006          | 0.0710          | 8.8393 (±1.0%)      
water           | no_ev      | 3.6909          | 0.0006          | MEM_OUT         | 0.0870 (±1.1%)      
water           | few_ev     | 1.7500          | 0.0012          | MEM_OUT         | 1.0273 (±0.5%)      
water           | much_ev    | 0.5535          | 0.0025          | MEM_OUT         | 15.4787 (2 TO, ±0.3%)
barley          | no_ev      | T/O             | 0.0024          | MEM_OUT         | 0.1802 (±0.5%)    
barley          | few_ev     | T/O             | 0.0019          | MEM_OUT         | 188.1997 (4 TO, ±1.4%)
barley          | much_ev    | 99.9885         | 0.0020          | MEM_OUT         | T/O                 
hailfinder      | no_ev      | 6.9727          | 0.0008          | MEM_OUT         | 0.0994 (±0.9%)      
hailfinder      | few_ev     | 0.6845          | 0.0015          | MEM_OUT         | 185.7235 (3 TO, ±0.6%)
hailfinder      | much_ev    | 0.2079          | 0.0013          | MEM_OUT         | T/O                 
win95pts        | no_ev      | 0.7789          | 0.0004          | MEM_OUT         | 0.1030 (±0.4%)      
win95pts        | few_ev     | 0.3053          | 0.0010          | MEM_OUT         | 2.4361 (±0.5%)      
win95pts        | much_ev    | 0.1312          | 0.0019          | MEM_OUT         | 7.2496 (1 TO, ±0.5%)
andes           | no_ev      | T/O             | 0.0049          | ERR             | 0.3346 (±0.6%)      
andes           | few_ev     | 117.4380 (3 TO) | 0.0118          | ERR             | T/O                 
andes           | much_ev    | 0.4760          | 0.0075          | ERR             | T/O                 
link            | no_ev      | T/O             | 0.0013          | ERR             | 1.1326 (±0.5%)      
link            | few_ev     | T/O             | 0.0431          | ERR             | MEM_OUT 
link            | much_ev    | 0.7645          | 0.0497          | ERR             | MEM_OUT 
pathfinder      | no_ev      | T/O             | 0.0007          | MEM_OUT         | 0.2451 (±0.8%)      
pathfinder      | few_ev     | 60.8524         | 0.0020          | MEM_OUT         | 89.6705 (1 TO, ±0.0%)
pathfinder      | much_ev    | 11.1473         | 0.0027          | MEM_OUT         | 34.2832 (4 TO, ±0.0%)
munin2          | no_ev      | T/O             | 0.0010          | ERR             | 1.5219 (±0.3%)      
munin2          | few_ev     | 27.0738 (3 TO)  | 0.0656          | ERR             | MEM_OUT             
munin2          | much_ev    | 3.4235          | 0.0310          | ERR             | MEM_OUT 
munin           | no_ev      | T/O             | 0.0015          | ERR             | 1.6683 (±0.2%)      
munin           | few_ev     | 148.2751 (1 TO) | 0.0665          | ERR             | MEM_OUT             
munin           | much_ev    | 3.6385          | 0.1143          | ERR             | MEM_OUT 



pruned tournament:
==========================================================================================
Model           | Tier       | sharpSAT (s)         | Var. Elimination (s)
------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0268               | 0.0009              
asia            | few_ev     | 0.0246               | 0.0044              
asia            | much_ev    | 0.0239               | 0.0013              
asia            | max_tree   | 0.0278               | 0.0016              
cancer          | no_ev      | 0.0286               | 0.0006              
cancer          | few_ev     | 0.0310               | 0.0010              
cancer          | much_ev    | 0.0323               | 0.0054              
